medcodeid,term,snomedct_conceptid,snomedct_descriptionid,eth16_2001,eth18_2011,eth19_2021
196631000006117,race: bangladeshi,186003008,285956019,Bangladeshi,Bangladeshi,Bangladeshi
285956019,bangladeshi,186003008,285956019,Bangladeshi,Bangladeshi,Bangladeshi
1968321000006111,asian/asian british: bangladeshi - ni ethnic cat 2011 census,977731000000108,2486921000000119,Bangladeshi,Bangladeshi,Bangladeshi
937541000006115,bangladeshi or british bangladeshi - ethn categ 2001 census,92471000000103,141371000000119,Bangladeshi,Bangladeshi,Bangladeshi
1968151000006117,asian/asian brit: bangladeshi- eng+wales eth cat 2011 census,976831000000100,2485031000000111,Bangladeshi,Bangladeshi,Bangladeshi
286020010,other asian,315280000,459783012,Any other Asian background,Any other Asian background,Any other Asian background
405069018,e afric asian/indo-carib (nmo),270465005,405069018,Any other Asian background,Any other Asian background,Any other Asian background
141541000000115,east african asian - ethnic category 2001 census,92661000000108,141541000000115,Any other Asian background,Any other Asian background,Any other Asian background
141521000000110,punjabi - ethnic category 2001 census,92641000000107,141521000000110,Any other Asian background,Any other Asian background,Any other Asian background
141571000000114,caribbean asian - ethnic category 2001 census,92691000000102,141571000000114,Any other Asian background,Any other Asian background,Any other Asian background
250243013,race: west indian,160531006,250243013,Caribbean,Caribbean,Caribbean
1968341000006116,asian/asian british: other asian - ni ethnic cat 2011 census,977771000000105,2487001000000110,Any other Asian background,Any other Asian background,Any other Asian background
141381000000117,other asian background - ethnic category 2001 census,92481000000101,141381000000117,Any other Asian background,Any other Asian background,Any other Asian background
